wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,glm_setup/max_layer_thick,par_id
1.4559,0.92217,2.9333,11.467,0.71135,p0075
1.3246,1.3976,6.4554,1.2718,0.60464,p0076
1.3635,1.4575,17.625,16.646,0.71439,p0077
0.85432,1.2263,19.13,15.387,0.25306,p0078
0.97393,0.68519,15.795,10.304,0.30326,p0079
0.60786,0.72363,13.643,4.9914,0.23125,p0080
1.3657,1.1356,15.621,6.9032,0.54254,p0081
0.9689,0.88356,9.6192,12.522,0.4415,p0082
0.90851,0.84151,10.221,17.759,0.73376,p0083
0.66283,1.2988,3.1092,16.291,0.36828,p0084
1.4019,0.92741,14.404,15.883,0.31644,p0085
1.1673,1.1402,1.7541,1.6297,0.57553,p0086
1.4171,1.3256,6.7621,0.87604,0.25746,p0087
1.2292,0.96448,15.286,11.267,0.49857,p0088
1.333,0.62597,11.069,19.611,0.63561,p0089
1.2072,0.54292,9.2385,16.988,0.58922,p0090
1.1095,0.90059,5.9144,16.266,0.62799,p0091
0.84182,0.50673,6.8703,15.92,0.58292,p0092
0.64454,1.1494,15.107,15.974,0.22338,p0093
0.8748,0.75089,12.544,6.3641,0.29845,p0094
1.0309,0.69251,16.958,5.5967,0.54894,p0095
0.74077,0.55882,12.941,0.50306,0.69751,p0096
1.1,0.51758,7.9276,15.505,0.68213,p0097
1.292,0.85203,16.38,7.7297,0.33077,p0098
0.70879,0.70553,3.2281,5.8683,0.34912,p0099
1.21,0.81952,6.7923,12.776,0.60206,p0100
1.2165,1.2454,15.153,15.312,0.29087,p0101
1.3767,0.83826,18.904,12.187,0.70236,p0102
1.3558,1.2016,19.19,13.76,0.62942,p0103
0.50675,1.4067,15.385,3.7365,0.60513,p0104
0.87175,1.2903,11.763,16.969,0.62478,p0105
0.67592,0.7762,19.043,9.1635,0.31741,p0106
0.99475,0.80086,19.389,2.971,0.66627,p0107
0.53118,0.53742,16.204,18.258,0.23967,p0108
1.1504,0.67339,13.945,1.0446,0.4855,p0109
0.93758,1.3609,6.1465,10.973,0.51033,p0110
0.56339,1.1612,19.759,10.038,0.359,p0111
1.1779,1.1297,3.8116,11.434,0.33114,p0112
0.55787,0.58494,2.5068,15.056,0.52983,p0113
1.3065,0.58961,12.019,7.7576,0.4353,p0114
0.85605,1.3808,4.4933,6.0229,0.30554,p0115
0.77599,0.52531,14.24,8.0818,0.67054,p0116
0.84764,1.2569,2.3856,17.196,0.63496,p0117
0.51417,0.83152,0.61445,13.11,0.22124,p0118
0.58687,0.74719,1.7827,3.9552,0.65499,p0119
1.2873,0.5928,3.1008,16.098,0.39607,p0120
0.57394,0.71528,18.326,12.15,0.32249,p0121
0.92643,0.85103,6.5178,17.83,0.43712,p0122
1.1148,1.2704,3.6686,4.3274,0.47657,p0123
1.3982,1.0078,17.555,3.2984,0.70891,p0124
1.4604,0.82073,5.3086,7.6582,0.25889,p0125
1.1843,1.2484,16.569,8.3189,0.71708,p0126
0.75074,0.87439,9.1438,9.6879,0.46995,p0127
1.2546,1.0188,19.516,11.41,0.44061,p0128
0.82473,0.74871,3.5924,9.7321,0.27589,p0129
0.85812,1.3984,16.985,10.933,0.23306,p0130
0.63372,1.0238,2.6975,9.7263,0.57284,p0131
1.0863,0.87355,2.7363,9.5027,0.37689,p0132
1.3273,1.3908,6.7322,1.092,0.67564,p0133
1.079,1.1094,0.8636,3.5771,0.36505,p0134
1.2243,1.2666,17.571,2.891,0.25548,p0135
1.0908,0.71055,7.4728,9.4156,0.6853,p0136
1.1314,0.64274,1.9089,8.6782,0.63347,p0137
1.0474,1.4313,15.215,10.267,0.47922,p0138
1.2309,0.51261,0.75834,8.635,0.24999,p0139
1.283,0.75583,0.92253,12.387,0.27207,p0140
0.89948,0.93806,5.7869,18.404,0.36864,p0141
0.5661,0.91106,14.096,5.9687,0.59422,p0142
1.4835,1.1027,3.3695,2.0057,0.47826,p0143
1.09,1.0988,11.83,5.9309,0.47364,p0144
0.96582,1.3161,8.9894,5.3252,0.32554,p0145
0.55474,1.195,9.2964,2.2325,0.36183,p0146
1.263,0.9991,15.02,4.2087,0.73528,p0147
0.9206,0.72515,8.8445,8.543,0.67211,p0148
0.82909,0.81505,0.74734,15.815,0.62153,p0149
1.0501,0.85976,15.065,7.8252,0.50076,p0150
0.9223,1.1522,16.122,4.0818,0.72761,p0151
1.2363,0.95567,13.069,3.6645,0.65878,p0152
0.677,0.8465,12.186,10.434,0.58565,p0153
0.67809,0.91481,3.9671,17.641,0.51587,p0154
1.0372,1.4195,1.0202,6.7291,0.66357,p0155
0.65564,0.97627,9.9835,1.7209,0.3818,p0156
0.62856,1.1864,17.257,17.298,0.20555,p0157
0.53649,1.0533,18.266,16.468,0.72242,p0158
1.0715,0.93435,16.538,16.025,0.28053,p0159
1.4035,1.057,16.635,6.259,0.55677,p0160
1.184,1.1479,12.073,3.0585,0.74362,p0161
1.0205,0.88568,0.59567,5.4446,0.58817,p0162
1.4712,1.0668,17.047,4.5798,0.61267,p0163
0.5849,0.70948,17.715,3.5247,0.61071,p0164
0.5414,0.8863,1.2773,9.3154,0.66052,p0165
0.51748,1.0797,7.0821,11.585,0.39558,p0166
0.62038,1.2163,2.0731,1.5115,0.45337,p0167
1.347,0.62624,19.653,12.429,0.69413,p0168
0.74935,0.50221,14.511,6.8402,0.44355,p0169
0.71725,0.898,12.613,6.2164,0.22069,p0170
0.73392,0.86853,14.682,13.67,0.21766,p0171
0.90674,0.98046,4.0885,10.057,0.50143,p0172
1.2137,1.1172,11.048,6.7105,0.52274,p0173
1.4296,0.98997,17.438,6.1687,0.21899,p0174
1.4854,1.1239,11.313,18.301,0.23771,p0175
1.035,1.3941,18.452,18.701,0.26344,p0176
0.99168,1.0511,18.847,18.019,0.67878,p0177
0.9711,1.3432,15.695,12.609,0.38506,p0178
1.0752,0.7747,15.449,7.5877,0.3794,p0179
1.0498,0.61143,7.3286,15.599,0.48949,p0180
1.4502,0.97821,14.959,2.1969,0.4885,p0181
1.3515,1.4543,9.508,3.9814,0.72361,p0182
1.1377,1.4895,2.4762,14.885,0.30213,p0183
0.86982,1.3845,9.4796,15.287,0.59993,p0184
1.3826,0.67555,3.4367,12.587,0.56963,p0185
0.88394,1.2465,17.516,8.0002,0.38729,p0186
0.81333,0.9411,9.882,0.75978,0.36674,p0187
0.61555,0.6419,1.4195,17.724,0.29506,p0188
0.91959,1.4034,15.952,3.9052,0.25456,p0189
0.69993,0.78878,1.674,10.843,0.37234,p0190
0.57149,0.98642,13.895,8.8806,0.56489,p0191
0.80359,0.56353,7.1814,18.726,0.73758,p0192
0.66532,1.2867,11.22,4.7563,0.45055,p0193
1.3571,1.1366,14.29,5.8159,0.46628,p0194
1.1036,0.97161,4.619,14.003,0.26476,p0195
1.3844,0.61977,14.142,3.1539,0.46159,p0196
0.60906,1.086,1.2475,8.9971,0.70554,p0197
1.1116,0.93137,10.413,17.232,0.40181,p0198
1.381,1.2349,8.5371,3.565,0.41556,p0199
0.85344,1.043,3.2911,18.894,0.52018,p0200
1.0738,1.4588,13.282,15.489,0.67517,p0201
1.4158,0.95847,3.9944,5.1891,0.21042,p0202
1.4903,1.0608,1.3135,14.701,0.39796,p0203
1.1196,1.496,11.2,10.471,0.22718,p0204
1.2671,0.57879,12.667,6.3458,0.44428,p0205
1.2588,1.2323,19.912,0.72635,0.62353,p0206
0.71465,0.60206,15.865,1.413,0.33766,p0207
0.86537,1.1134,8.7129,19.398,0.52679,p0208
1.1924,0.98537,12.281,8.2505,0.56871,p0209
1.0399,0.65873,2.1573,10.363,0.64308,p0210
1.0673,1.2041,2.3221,3.6319,0.70756,p0211
1.1884,1.2588,14.768,9.8029,0.56353,p0212
1.3895,1.0119,17.964,13.708,0.52853,p0213
1.0633,0.73147,6.1101,7.7772,0.63996,p0214
1.1632,1.3081,10.502,15.69,0.3112,p0215
1.4938,1.351,6.5581,14.535,0.2974,p0216
0.6228,0.57285,9.6048,18.647,0.55053,p0217
0.99955,0.78334,8.144,15.565,0.39254,p0218
0.88692,1.0041,3.8104,5.2786,0.24761,p0219
0.7657,0.50464,13.589,12.805,0.45739,p0220
0.91046,0.73473,1.0776,4.4746,0.39105,p0221
1.3694,1.4673,8.4218,4.793,0.37358,p0222
0.75576,0.81009,19.348,15.063,0.53248,p0223
0.98608,1.2088,3.6476,8.1535,0.2916,p0224
0.89415,1.4472,19.924,17.352,0.22792,p0225
1.2956,1.4167,5.7063,17.449,0.39926,p0226
0.57968,0.66184,15.527,11.784,0.64641,p0227
0.83511,1.0371,14.542,11.701,0.24607,p0228
0.50213,1.0285,17.848,7.29,0.71654,p0229
0.65643,0.55541,11.957,9.2928,0.6923,p0230
1.2746,1.4695,12.806,18.104,0.35108,p0231
1.3905,1.2737,7.3574,2.2833,0.46863,p0232
1.3669,1.3304,1.8549,1.5649,0.3104,p0233
1.1528,1.4773,2.7726,11.68,0.40559,p0234
0.63858,1.0202,14.068,5.6646,0.47521,p0235
0.80965,0.6369,5.6536,15.228,0.53356,p0236
1.4562,1.4861,4.4045,1.4763,0.64665,p0237
0.76647,1.2102,15.981,10.584,0.34847,p0238
0.66827,0.53407,1.3551,1.8462,0.68623,p0239
1.1879,0.54191,2.652,17.554,0.5438,p0240
0.81662,1.3687,18.073,6.3037,0.35614,p0241
1.3316,0.51971,16.719,19.352,0.26996,p0242
1.2712,1.1799,7.3972,13.88,0.40935,p0243
1.0186,1.2143,10.824,14.978,0.24226,p0244
0.73615,1.1665,1.1447,0.79807,0.2726,p0245
1.0005,0.72694,18.302,18.592,0.66435,p0246
1.2383,1.1805,10.036,12.99,0.42268,p0247
0.77834,1.2682,11.575,9.4414,0.2305,p0248
1.3236,0.92431,13.346,3.4345,0.57883,p0249
1.1993,0.71956,14.651,18.984,0.23697,p0250
0.86355,1.1978,9.9186,10.875,0.48679,p0251
1.3113,0.54872,12.262,8.8396,0.4825,p0252
0.59689,0.77811,1.3933,2.5321,0.41691,p0253
0.81513,1.3277,15.474,13.786,0.37563,p0254
0.6712,0.7066,6.6282,19.713,0.21617,p0255
0.94183,1.2636,18.87,7.2192,0.71332,p0256
0.78535,0.99457,3.3074,7.625,0.47061,p0257
1.3167,1.3342,3.5117,5.5409,0.60616,p0258
0.51357,1.2836,8.6181,2.3397,0.56761,p0259
1.169,1.4485,4.7072,8.5028,0.23605,p0260
1.3436,0.55244,12.468,18.465,0.5482,p0261
1.4076,0.91792,18.587,12.508,0.68421,p0262
1.2226,0.63471,4.2009,1.3569,0.41139,p0263
0.91322,1.0583,14.612,12.855,0.27607,p0264
1.0137,0.67854,18.81,18.323,0.24474,p0265
1.3198,0.71325,10.46,5.627,0.64091,p0266
0.56039,0.89029,1.708,8.9685,0.27898,p0267
0.8846,1.2065,2.5875,16.556,0.60816,p0268
1.4527,1.4262,18.387,14.093,0.35727,p0269
0.55879,0.91392,12.72,13.565,0.696,p0270
1.4085,0.52768,17.329,19.878,0.48051,p0271
0.74674,1.0174,4.8429,10.126,0.42901,p0272
1.3603,0.93344,2.006,14.346,0.31307,p0273
0.97532,1.4931,11.146,9.9592,0.44706,p0274
1.2938,1.0821,18.405,0.63372,0.62657,p0275
1.3121,1.1449,8.4747,4.8882,0.52641,p0276
1.1487,1.3779,10.255,18.531,0.32694,p0277
1.0338,0.92932,19.011,1.3375,0.20785,p0278
0.83134,1.1593,19.966,6.9542,0.5153,p0279
0.97774,1.364,5.6356,6.4863,0.70118,p0280
0.90501,0.72113,10.517,14.475,0.40717,p0281
1.0224,1.2654,5.5808,16.189,0.38277,p0282
1.4589,1.4456,4.9101,4.9248,0.4848,p0283
0.52255,1.1043,2.2902,12.08,0.27809,p0284
1.4808,1.0941,4.0442,14.827,0.36317,p0285
0.89198,1.4519,6.9727,2.99,0.5311,p0286
0.72393,0.69482,2.8988,18.145,0.28422,p0287
1.4112,0.5748,12.114,10.781,0.56268,p0288
1.2778,1.3939,14.368,8.7212,0.58053,p0289
1.1138,0.54403,9.7682,9.2269,0.55456,p0290
1.1336,1.1758,4.2072,12.25,0.55905,p0291
0.92555,0.65031,5.8633,18.787,0.2249,p0292
0.5388,0.76858,11.975,13.915,0.63195,p0293
0.77006,0.74342,17.805,5.1665,0.67089,p0294
0.70474,0.58142,13.204,8.0848,0.45107,p0295
0.68558,0.62147,18.097,2.4733,0.33954,p0296
1.3294,0.65591,5.5381,7.3429,0.58453,p0297
1.2189,1.3187,10.306,19.979,0.49934,p0298
1.1613,0.59951,19.833,5.5145,0.30918,p0299
0.56594,1.3731,16.332,2.6288,0.42669,p0300
1.1461,1.4821,14.741,4.6931,0.37769,p0301
1.2005,0.78574,4.7956,8.4241,0.46338,p0302
0.68371,0.75942,16.194,15.677,0.32029,p0303
0.51824,1.3451,6.3959,2.7371,0.57774,p0304
0.65885,1.0555,16.249,9.8943,0.49417,p0305
0.84213,0.76022,8.6758,11.231,0.4487,p0306
0.94738,1.429,11.126,7.9075,0.46442,p0307
0.89724,0.99774,13.729,19.666,0.2228,p0308
0.9305,0.55036,7.7422,2.8617,0.39466,p0309
0.7266,1.4092,19.25,9.3501,0.59016,p0310
0.94329,1.357,7.5702,17.478,0.40576,p0311
0.82274,0.80911,3.7453,8.5641,0.69687,p0312
0.84859,0.72937,12.559,9.6029,0.62785,p0313
0.73017,1.4705,4.5219,8.5967,0.58618,p0314
0.62457,1.4994,0.52649,11.054,0.54154,p0315
1.3011,0.9029,10.162,4.1078,0.59166,p0316
0.6729,0.80791,4.6403,13.265,0.44755,p0317
0.93986,1.4244,9.3435,19.589,0.27926,p0318
0.73937,0.73259,16.006,9.547,0.66102,p0319
0.81931,1.2601,14.011,7.408,0.25622,p0320
0.7725,0.77168,18.482,2.4793,0.43113,p0321
1.2978,1.1542,2.2535,1.0136,0.74084,p0322
1.0773,0.61242,5.462,19.778,0.31344,p0323
0.99642,0.52038,17.649,10.114,0.47179,p0324
0.78067,0.92148,3.4048,13.574,0.7365,p0325
1.1388,1.0095,19.623,8.3877,0.62086,p0326
1.097,0.99018,18.232,15.956,0.38887,p0327
1.058,1.4335,10.961,11.885,0.67761,p0328
0.96799,0.87846,13.222,5.8964,0.32884,p0329
0.79677,1.3033,13.669,17.29,0.21456,p0330
1.0936,0.88815,16.934,11.965,0.51334,p0331
0.5101,1.3288,1.5399,16.135,0.30871,p0332
0.91721,0.67167,1.0517,16.316,0.35749,p0333
0.69403,1.0742,9.1292,18.847,0.46242,p0334
1.3206,0.56467,3.7125,3.4877,0.47419,p0335
0.60167,0.69072,5.3873,16.625,0.33621,p0336
1.4456,1.0476,1.8214,3.2392,0.34244,p0337
1.4125,0.70119,17.798,6.5294,0.2819,p0338
0.90263,1.4104,10.364,14.742,0.68901,p0339
1.0264,1.1828,6.4091,12.958,0.57086,p0340
0.69374,0.84531,4.4525,4.1905,0.37005,p0341
1.1558,0.58792,11.903,8.0305,0.54688,p0342
1.3404,1.2401,16.411,9.8733,0.50677,p0343
1.1592,1.2795,17.062,10.348,0.48778,p0344
1.1245,0.87,16.471,5.0381,0.71887,p0345
0.90018,0.61543,15.808,3.4153,0.32374,p0346
1.0252,1.3523,5.1758,1.7808,0.53478,p0347
1.2888,1.1728,0.50338,7.0008,0.74179,p0348
0.66083,1.1888,4.3126,8.9324,0.3214,p0349
1.1003,0.95365,4.9075,15.432,0.73941,p0350
0.75369,0.90896,17.935,18.5,0.3524,p0351
0.56945,0.83267,9.7891,3.3561,0.45203,p0352
1.4637,0.89259,15.326,12.944,0.64856,p0353
0.79475,1.3832,17.4,14.58,0.43541,p0354
1.2641,1.4785,9.0405,6.092,0.74645,p0355
1.3083,0.8777,18.707,4.3645,0.53703,p0356
1.1731,1.0705,0.95104,14.453,0.73894,p0357
0.83951,0.51027,15.562,7.5387,0.39816,p0358
1.3716,1.0007,11.402,14.753,0.46539,p0359
1.4053,0.65754,19.724,11.816,0.2625,p0360
0.78798,0.91829,12.153,2.6833,0.2346,p0361
0.65109,1.0736,8.8048,19.493,0.35347,p0362
1.2147,0.68725,1.1868,17.897,0.45985,p0363
0.52578,1.1108,16.605,19.419,0.46832,p0364
0.59138,0.76356,5.0167,10.633,0.66777,p0365
1.2458,0.82341,14.209,14.408,0.72516,p0366
0.59879,0.9679,9.9304,16.876,0.49319,p0367
1.0284,0.52945,5.4516,17.136,0.67684,p0368
1.1349,0.9694,16.104,15.345,0.68792,p0369
0.70189,0.73855,8.5124,7.0437,0.23239,p0370
0.83638,1.4426,8.77,14.143,0.43401,p0371
0.94407,1.3206,10.129,19.099,0.73224,p0372
1.4386,0.79837,14.796,13.245,0.34484,p0373
0.95893,1.1436,2.4336,19.268,0.39217,p0374
0.54912,1.3414,7.8328,13.529,0.57473,p0375
0.88197,1.3752,16.89,14.635,0.56035,p0376
1.0066,1.0244,7.6776,16.772,0.55098,p0377
0.69155,0.50118,7.7266,6.5914,0.45797,p0378
1.1575,1.0327,10.911,9.9748,0.58267,p0379
1.2993,1.0632,0.88162,2.7963,0.3501,p0380
1.1752,1.1155,14.57,6.822,0.442,p0381
1.1401,0.9759,6.2619,14.315,0.56592,p0382
1.0454,1.3876,19.144,13.326,0.43823,p0383
0.59451,0.53172,7.1187,10.739,0.30086,p0384
0.92974,0.56805,10.887,7.3114,0.37909,p0385
0.72585,0.7721,15.022,14.375,0.38679,p0386
1.3784,0.75281,13.552,3.7221,0.5963,p0387
1.1902,1.4653,5.5103,4.5059,0.37078,p0388
1.441,0.63002,9.6877,17.096,0.61906,p0389
1.0802,0.81733,11.532,1.1363,0.71168,p0390
1.3862,0.82749,7.8543,6.0576,0.39027,p0391
1.1435,0.80527,6.926,7.9279,0.32787,p0392
1.421,0.8283,12.344,12.335,0.45475,p0393
1.1657,1.305,0.79749,8.7908,0.6158,p0394
1.066,1.2853,4.7663,14.607,0.28481,p0395
1.4495,0.64559,16.479,15.762,0.24088,p0396
1.0682,1.4138,18.689,16.485,0.5173,p0397
1.1445,0.99268,8.0191,6.9253,0.69287,p0398
0.7905,1.1713,11.266,13.465,0.5379,p0399
1.0523,1.3553,5.0856,11.556,0.29947,p0400
1.1052,0.5391,10.729,10.799,0.73069,p0401
1.4468,1.3129,7.8916,19.332,0.6623,p0402
0.7076,1.424,17.181,3.7986,0.45547,p0403
1.2516,0.94631,5.8183,7.1249,0.50702,p0404
0.62607,0.5239,0.42504,19.074,0.65551,p0405
0.9603,1.3586,19.33,7.4983,0.31472,p0406
1.117,1.1909,8.3195,7.2317,0.26532,p0407
1.1262,0.9452,8.1811,2.7666,0.42784,p0408
0.93297,1.1849,7.224,17.141,0.34399,p0409
1.0148,0.63223,13.817,17.523,0.65111,p0410
0.54614,0.76523,14.45,19.54,0.52366,p0411
0.54345,1.0811,3.0625,15.646,0.6501,p0412
0.61167,1.362,14.868,16.409,0.71008,p0413
1.2859,1.2763,15.752,18.944,0.20936,p0414
1.3025,1.4537,10.1,5.3788,0.20744,p0415
1.2525,0.7373,4.0593,6.3996,0.72928,p0416
0.57628,1.0355,1.4756,6.4716,0.3246,p0417
1.4366,0.85709,10.777,0.92452,0.2599,p0418
1.2726,1.275,12.688,11.358,0.33383,p0419
0.73565,1.339,7.6255,11.915,0.59743,p0420
0.5,0.81254,11.554,6.1305,0.64891,p0421
1.3748,1.4389,7.7837,13.393,0.68012,p0422
1.4195,0.9617,13.518,18.779,0.33719,p0423
0.80081,1.1187,9.4247,9.1879,0.42629,p0424
1.425,1.2293,9.0851,1.207,0.49166,p0425
0.64187,1.491,18.129,11.08,0.55774,p0426
0.94912,0.6761,3.8683,11.304,0.40873,p0427
1.4696,1.0159,19.086,5.4718,0.26769,p0428
1.2699,0.5776,12.374,8.7503,0.49694,p0429
0.91535,1.1502,13.464,15.775,0.60296,p0430
0.95335,0.90778,3.9218,10.531,0.40254,p0431
1.0854,1.1642,18.001,18.586,0.61912,p0432
0.80656,0.62925,4.3215,3.3018,0.71967,p0433
0.87765,1.2365,18.539,16.709,0.74318,p0434
1.0082,0.8679,13.043,12.699,0.43051,p0435
1.4887,0.79687,8.9813,8.1874,0.5193,p0436
0.98379,1.2129,14.921,12.279,0.70032,p0437
1.393,0.60162,15.252,12.457,0.5119,p0438
1.3053,1.4412,7.2795,19.051,0.71553,p0439
0.789,1.2032,1.944,9.8316,0.68101,p0440
0.7573,0.59107,13.144,2.656,0.54505,p0441
1.4309,0.60462,13.445,16.706,0.48016,p0442
0.53544,0.68848,15.58,0.41328,0.64548,p0443
0.68127,1.1272,2.2093,4.2644,0.56172,p0444
0.50408,1.2523,10.695,8.4721,0.28723,p0445
1.2412,0.51445,1.6231,4.639,0.50883,p0446
0.63112,0.83463,19.456,19.809,0.49066,p0447
0.86751,0.76693,1.1555,11.191,0.53571,p0448
0.84506,0.69785,12.785,6.7815,0.63837,p0449
1.4661,1.3066,11.66,16.357,0.50323,p0450
1.0438,0.6829,5.2224,9.6352,0.4238,p0451
0.64842,1.485,13.108,13.206,0.50385,p0452
0.80594,1.1381,8.9044,13.991,0.61754,p0453
0.79391,0.54721,2.0083,6.6208,0.36125,p0454
0.98827,1.1689,17.136,15.132,0.28941,p0455
0.89358,1.0682,5.0637,13.025,0.62348,p0456
1.281,1.0308,19.601,13.175,0.48292,p0457
1.4742,0.86263,5.9753,19.212,0.65758,p0458
0.71125,0.79567,19.558,19.464,0.30745,p0459
0.8601,1.4054,7.204,16.53,0.57673,p0460
1.3734,0.80237,8.9346,2.2466,0.59285,p0461
0.82763,1.4605,9.2097,1.4288,0.60933,p0462
1.2472,1.4732,7.5009,8.3144,0.57352,p0463
1.0168,0.55757,5.2677,17.93,0.20232,p0464
0.58132,0.66492,1.5268,11.501,0.41845,p0465
1.2496,0.79,11.631,1.8767,0.68395,p0466
0.61854,1.4018,7.6046,8.2237,0.72875,p0467
1.1283,1.3007,2.8691,2.1116,0.21184,p0468
0.82004,0.6671,1.6116,14.206,0.49484,p0469
0.61314,1.1254,2.1994,2.1579,0.74493,p0470
0.72833,1.1937,12.945,12.716,0.7332,p0471
1.0618,0.89528,17.239,12.036,0.29587,p0472
0.99282,0.61665,7.0196,5.2574,0.69079,p0473
1.4978,0.60784,18.779,10.494,0.43967,p0474
0.88978,1.3674,18.179,3.0942,0.49758,p0475
0.95449,1.1765,8.6537,11.761,0.53989,p0476
0.52925,1.198,19.263,1.1474,0.66869,p0477
1.0579,0.65274,6.3047,19.148,0.72309,p0478
1.4439,0.86196,6.6939,2.3999,0.61376,p0479
0.96367,1.0899,14.181,18.195,0.21384,p0480
1.2422,0.94855,8.3733,14.175,0.28285,p0481
1.1069,0.9561,3.005,16.843,0.28672,p0482
0.55306,1.0125,10.851,0.54815,0.59821,p0483
1.0413,0.58358,18.962,4.7447,0.21308,p0484
0.59207,1.2806,8.1172,5.1404,0.26869,p0485
0.85165,0.9426,17.143,4.8485,0.72063,p0486
0.68992,1.2558,19.846,3.8461,0.29423,p0487
1.4785,1.2239,0.70293,7.4789,0.74969,p0488
0.54461,1.3797,10.556,4.5988,0.63296,p0489
0.9811,1.4746,0.46503,14.794,0.41338,p0490
0.76322,1.4157,4.135,3.8548,0.2606,p0491
1.082,1.3108,4.959,13.08,0.40108,p0492
1.2203,0.75739,9.7073,15.175,0.34717,p0493
0.5332,1.101,13.863,5.0949,0.6443,p0494
1.1216,0.74567,13.975,14.061,0.33501,p0495
1.3946,1.2969,16.685,2.3863,0.40361,p0496
0.5886,1.2204,16.295,16.204,0.60055,p0497
0.95049,0.83729,12.406,2.0823,0.52187,p0498
0.97873,0.57094,10.056,10.205,0.63678,p0499
1.3341,1.0972,8.2827,5.7374,0.38049,p0500
