wind_speed,swr,LAKE_PARAMS/c_relax_C,LAKE_PARAMS/depth_w_lk,LAKE_PARAMS/T_bs_lk,par_id
0.90658,0.66604,0.0086818,5.464,8.2994,p0039
0.93428,0.62136,0.0051496,2.0909,10.074,p0040
1.109,0.52277,0.0067771,5.8402,18.458,p0041
1.2689,0.59777,0.0097521,0.33308,6.7651,p0042
0.94466,1.1919,0.0083989,5.5365,19.211,p0043
0.77698,1.2313,0.00014197,2.0557,14.481,p0044
0.61132,0.67082,0.0026683,3.4688,12.574,p0045
1.0253,0.92987,0.0038701,3.0808,6.0777,p0046
0.91953,1.153,0.0072681,3.7307,5.7398,p0047
0.7429,0.90769,0.004518,5.0943,12.08,p0048
0.50004,0.7221,0.00097409,0.14787,14.362,p0049
0.83468,0.57946,0.0079635,5.8987,18.882,p0050
1.1616,0.78919,0.0001342,5.8318,9.5797,p0051
0.986,0.85418,0.0016043,4.9387,14.084,p0052
0.52989,0.70745,0.0032361,4.385,18.986,p0053
0.73893,0.64386,0.0020547,2.238,6.1064,p0054
1.3167,0.81416,0.00052543,5.0177,12.376,p0055
1.1217,1.432,0.0025751,4.3745,9.7275,p0056
0.78291,0.86229,0.0064148,4.6671,5.2882,p0057
1.0089,0.93838,0.00050786,4.5152,6.1728,p0058
1.231,0.77149,0.0022101,4.2083,8.2662,p0059
0.84872,0.58567,0.0052364,3.6458,4.6626,p0060
0.98915,0.70815,0.0068973,0.69353,18.045,p0061
1.0808,0.71487,0.0031835,5.2534,14.032,p0062
1.3785,1.4863,0.0031627,5.1527,17.818,p0063
1.4498,1.205,0.00598,3.4022,5.3656,p0064
1.1839,0.81315,0.0029861,4.7657,11.803,p0065
0.89646,0.72191,0.0093912,5.9412,16.898,p0066
1.2885,0.78554,0.00057473,0.92872,15.879,p0067
1.3491,1.179,0.0011589,4.909,13.113,p0068
1.2647,0.89177,0.009828,1.96,6.9613,p0069
0.96194,1.1356,0.0078232,2.6525,7.9088,p0070
1.0683,0.76893,0.0066187,3.7139,14.191,p0071
1.3064,0.63817,0.00085155,2.0666,13.5,p0072
0.65641,0.5305,0.0085087,2.4598,5.1195,p0073
1.2047,1.2098,0.0073833,3.5641,6.1123,p0074
0.94385,1.1808,0.0014467,2.3976,10.983,p0075
1.0908,0.97886,0.0065878,3.1271,19.337,p0076
1.1964,0.98643,0.0098733,5.4897,11.412,p0077
1.2071,0.69294,0.00030082,5.6424,4.4923,p0078
1.0527,0.85964,0.00028988,5.6626,7.4745,p0079
0.95591,0.69751,0.0040055,3.4342,14.542,p0080
0.52082,0.6742,0.0062733,4.0881,14.576,p0081
0.72819,1.4634,0.0069167,5.6732,11.245,p0082
1.2507,1.4001,0.0054193,1.0198,19.03,p0083
0.75338,1.0553,0.0056178,2.9377,10.277,p0084
0.53433,0.53706,0.0046836,0.30521,15.921,p0085
0.97103,0.51096,0.008013,2.4792,11.284,p0086
0.56416,0.5184,0.0037041,5.6,5.5839,p0087
0.96888,1.0873,0.0008295,5.426,11.493,p0088
0.92967,0.96992,0.0042171,3.2135,10.396,p0089
0.6629,1.2984,0.0093671,0.62867,6.7297,p0090
1.3519,0.88605,0.0043515,4.4522,4.2296,p0091
0.62833,0.96333,0.0028207,5.0015,16.659,p0092
0.78932,1.377,0.0012229,2.7856,5.5644,p0093
1.4785,0.84161,0.0079252,2.5117,7.4451,p0094
1.0739,1.0826,0.0052254,3.2655,10.739,p0095
1.0078,1.2147,0.0066888,5.9568,4.9096,p0096
1.0745,0.91495,0.0046006,2.7341,4.9524,p0097
0.98071,1.1735,0.0014908,4.2782,19.867,p0098
1.3665,0.68772,0.0018517,2.1079,5.8748,p0099
0.55546,0.58774,0.0056682,0.45054,10.765,p0100
1.2624,1.1518,0.0028515,1.5197,10.408,p0101
0.82292,1.2955,0.0081966,5.0855,15.688,p0102
1.018,1.1604,0.0074784,3.9913,8.483,p0103
0.55133,0.81741,0.0019883,3.887,15.628,p0104
1.2438,0.856,0.0063508,5.0379,7.3397,p0105
0.88403,0.8052,0.0044621,0.20192,14.771,p0106
0.75842,0.54489,0.0056467,4.9003,12.764,p0107
0.84042,1.1153,0.0044169,0.65172,15.958,p0108
0.71335,1.2179,0.0093499,0.52404,9.089,p0109
1.1131,0.7997,0.0071134,5.2234,12.949,p0110
1.1692,0.54035,0.0079187,3.7972,13.975,p0111
0.95285,0.56256,0.0025645,4.2645,4.091,p0112
0.63422,0.9031,0.0029559,4.3144,17.019,p0113
0.60151,0.6919,0.0023269,0.42169,6.6391,p0114
1.421,1.1475,0.0024089,1.4288,18.588,p0115
0.64255,0.61577,0.0053207,4.0932,19.705,p0116
1.1518,0.94624,0.0023473,4.3966,8.6264,p0117
1.201,1.029,0.001346,2.5349,16.489,p0118
1.222,1.0177,0.00717,5.7397,9.2316,p0119
1.4195,1.1997,0.0071608,1.6656,6.4912,p0120
0.70489,1.314,0.007198,4.0758,19.739,p0121
0.76276,0.6066,0.0052849,3.3655,16.406,p0122
0.81123,1.3228,0.0045771,0.48844,5.2525,p0123
0.67901,0.80176,0.0048174,5.4145,18.227,p0124
1.2976,0.77607,0.0048988,2.6756,9.0437,p0125
1.2751,0.65656,0.0041872,2.0255,10.043,p0126
0.99523,1.4268,0.009948,1.8946,19.504,p0127
1.1909,0.82011,0.0074261,2.584,12.902,p0128
1.0485,0.90883,0.0030655,5.3589,15.175,p0129
1.3624,1.1769,0.0030257,5.6875,12.61,p0130
1.4568,1.0442,0.0089559,4.0386,5.6727,p0131
0.54053,0.86909,0.00022142,1.7958,6.8902,p0132
1.4309,0.84289,0.009562,0.86182,17.39,p0133
0.88252,1.3735,0.0055191,3.6299,5.7616,p0134
1.0644,1.0766,0.0018017,4.2695,10.173,p0135
1.2738,1.4785,0.0080236,3.0039,8.0119,p0136
0.70782,1.0646,0.0045554,4.1267,17.048,p0137
0.67033,0.95366,0.0056959,0.87561,19.967,p0138
0.66889,1.4146,0.0087462,3.6077,8.13,p0139
0.77967,1.1396,0.0082063,4.3023,15.716,p0140
0.96528,1.2885,0.0089351,2.9744,10.912,p0141
1.1871,1.2812,0.0065579,3.1883,16.832,p0142
1.0111,0.93475,0.0089132,2.1192,5.167,p0143
1.0304,0.85106,0.0099737,4.9503,14.621,p0144
1.3302,0.88215,0.0038583,2.8998,5.8051,p0145
0.83332,0.75422,0.00248,3.9085,8.6575,p0146
1.1323,1.3112,0.0019571,1.7857,4.5199,p0147
0.56977,1.3632,0.0041408,3.8415,18.491,p0148
0.85823,1.444,0.0016102,5.988,15.491,p0149
0.69417,0.82362,0.0087204,4.8632,16.519,p0150
1.1316,1.4068,0.00054605,4.432,9.6035,p0151
1.4923,0.60441,0.0024988,5.3637,13.863,p0152
0.92301,0.82712,0.0054462,4.9219,7.4991,p0153
0.76576,1.4224,0.0034379,5.994,17.876,p0154
1.345,1.2186,0.00027387,4.0224,6.307,p0155
0.57696,1.0923,0.0047565,1.685,13.266,p0156
1.2866,0.79249,0.00020085,0.47656,9.5547,p0157
0.50941,1.2549,0.0047196,2.2242,10.809,p0158
1.4734,1.2744,0.0042364,0.24693,19.122,p0159
1.0584,1.3486,0.0086314,5.9391,12.522,p0160
0.95923,1.4037,0.0082668,4.2422,17.247,p0161
1.3715,1.185,0.0016859,5.8816,8.0631,p0162
1.2215,0.54873,0.0095409,3.6905,9.212,p0163
1.0362,0.58892,0.0085473,0.29921,10.441,p0164
1.1529,1.3555,0.00011596,3.3031,13.242,p0165
0.57084,1.1185,0.0059881,2.6003,12.309,p0166
1.125,0.9544,0.0049408,1.9244,4.5511,p0167
0.87561,1.4974,0.0034527,2.3663,18.947,p0168
1.4743,1.4836,0.0010931,1.718,7.378,p0169
0.74523,0.86652,0.0065447,1.8104,18.795,p0170
1.4966,1.2909,0.0074168,0.9419,7.6688,p0171
1.128,1.4111,0.0011791,5.1899,11.698,p0172
1.4411,0.75325,0.0051121,5.7425,15.081,p0173
1.1796,0.98381,0.0035181,4.6496,15.772,p0174
1.0717,0.64902,0.0097993,4.9699,9.6608,p0175
1.255,0.521,0.0088904,0.50161,5.1947,p0176
0.74655,1.4311,0.0022718,2.8528,4.1807,p0177
1.488,1.0127,0.0006036,0.27467,11.885,p0178
1.3731,1.4462,0.0015292,0.13557,17.914,p0179
1.3055,1.4556,0.0033868,5.8147,11.852,p0180
0.98441,0.84836,0.002615,1.9833,4.426,p0181
1.1444,0.71043,0.0047487,3.5965,17.575,p0182
1.4385,0.87295,0.0027623,1.2327,8.9294,p0183
1.4708,1.3479,0.0098022,5.1812,5.2261,p0184
1.3651,1.09,0.0058011,2.5226,17.124,p0185
1.0032,1.2695,0.0091301,1.0909,14.713,p0186
0.91338,0.81064,0.0070345,4.7844,10.638,p0187
0.76026,1.0945,0.0032727,4.6328,19.986,p0188
1.0829,1.2773,0.0028107,4.6637,4.2792,p0189
0.95635,0.97525,0.0010299,2.6642,5.0418,p0190
0.55938,1.1333,0.0058043,2.4323,13.186,p0191
1.1934,0.64153,0.0024694,5.6239,17.343,p0192
0.56056,1.1103,0.0083294,4.6216,11.575,p0193
1.0448,0.99153,0.004114,5.3049,15.533,p0194
1.2836,1.0529,0.0021611,4.7026,18.249,p0195
1.3265,0.90093,0.0018859,4.486,4.0129,p0196
1.0335,1.0222,0.0065217,0.45476,6.4264,p0197
0.5237,0.94498,0.0061467,2.7193,17.971,p0198
1.3586,1.4652,0.0038913,3.3308,15.981,p0199
0.62362,0.75608,0.0036905,4.5817,6.4562,p0200
0.66627,1.1016,0.0030461,0.6805,19.573,p0201
0.67342,1.467,0.0051432,5.3502,15.826,p0202
1.1812,1.1371,0.0078688,1.6449,14.413,p0203
1.4643,1.3208,0.0064822,0.58514,13.177,p0204
0.65532,1.2724,0.0049152,3.3368,4.8385,p0205
0.99026,1.381,0.0013061,3.1717,15.282,p0206
0.70293,0.78236,0.003256,0.65901,12.146,p0207
1.2419,0.83831,0.003824,3.4581,19.528,p0208
1.021,1.17,0.0011151,5.8006,9.0039,p0209
1.3092,1.4363,0.00068422,4.7545,16.457,p0210
0.79618,1.2259,0.0053987,1.485,7.2912,p0211
0.76682,0.7496,0.0076154,5.4096,12.466,p0212
0.68922,0.91768,0.0089024,0.12861,19.596,p0213
1.1271,1.2674,0.00059291,2.4162,5.9443,p0214
0.5997,1.2596,0.0048432,1.6807,14.498,p0215
0.53664,0.60176,0.0040315,2.6343,15.213,p0216
1.2143,1.2708,0.0033301,1.9916,18.841,p0217
1.4349,1.3531,0.005479,3.28,17.786,p0218
1.2128,0.59831,0.0023098,2.7699,9.9071,p0219
1.4257,1.223,0.0020357,3.9176,18.063,p0220
0.88639,0.55024,0.00093265,2.7522,7.8029,p0221
1.1394,1.3187,0.0010349,5.7265,5.3844,p0222
0.59051,1.0152,0.0090602,5.2379,4.3035,p0223
0.71589,0.66538,0.0039506,5.1311,9.385,p0224
0.75133,0.50325,0.0042732,0.39244,6.2669,p0225
1.4611,0.68346,0.0096188,0.34515,5.4357,p0226
0.81563,1.4294,0.0067228,0.90459,13.793,p0227
0.57821,0.62394,0.00076407,4.6023,7.8863,p0228
1.1842,1.2134,0.0063707,4.5657,12.999,p0229
1.0151,1.3976,0.0099278,0.11799,14.896,p0230
1.0355,0.70381,0.005899,5.2911,14.451,p0231
1.1892,0.63771,0.00088211,1.4556,14.833,p0232
0.93766,1.3842,0.0046556,1.4124,16.2,p0233
1.3967,0.8813,0.0082801,2.1797,10.593,p0234
1.2793,0.53309,0.0065011,5.6153,8.9659,p0235
1.2097,1.0579,0.0088342,5.2749,10.214,p0236
0.89195,0.54378,0.0017231,0.67094,17.191,p0237
0.74924,1.1921,0.0018623,1.392,18.685,p0238
1.4167,0.51711,0.00041856,0.54409,4.5924,p0239
1.2298,0.62509,0.0004683,3.5123,9.535,p0240
1.0998,1.2395,0.0053332,0.79251,10.119,p0241
0.59697,1.2609,0.0049935,3.4252,5.7135,p0242
1.177,0.76095,0.0081137,2.1958,11.991,p0243
0.52716,0.72875,0.0087571,1.1229,4.1376,p0244
0.83623,1.3742,0.008138,4.8725,15.296,p0245
1.123,1.2039,0.0085758,0.16882,5.5267,p0246
1.2104,0.57324,0.009509,4.1951,15.777,p0247
0.51093,0.72796,0.00043841,2.6924,6.0014,p0248
0.77511,1.3787,0.0050442,1.4013,11.652,p0249
0.6098,0.60922,0.0061007,1.8822,6.0357,p0250
0.62796,1.1676,0.0024339,5.2661,16.59,p0251
0.58504,1.1822,0.0043007,2.8315,11.963,p0252
0.61281,0.57487,0.0070761,1.6027,17.683,p0253
1.1365,1.1431,0.0084346,1.2097,13.667,p0254
0.98385,0.67615,0.0083844,0.76743,8.8043,p0255
1.4835,1.3303,0.0054944,4.0558,8.3884,p0256
1.0137,1.0314,0.0054383,1.3475,9.9481,p0257
0.89382,1.362,0.0077752,4.7386,13.585,p0258
0.8093,1.0091,0.0025342,1.1498,8.7077,p0259
0.51598,1.4773,0.0028939,5.1139,12.436,p0260
0.61463,0.95849,0.00062408,1.8544,16.107,p0261
1.4593,0.93114,0.006805,4.5019,11.03,p0262
1.0438,0.87989,0.0079489,3.6851,19.669,p0263
0.72379,0.6887,0.0083466,3.7927,13.56,p0264
1.4682,0.78739,0.0014219,5.7761,9.4292,p0265
0.5314,0.92248,0.00089654,0.88182,4.3648,p0266
1.291,0.79081,0.0057292,4.5306,10.877,p0267
0.75466,1.2786,0.0011393,0.78421,6.3933,p0268
0.71708,1.1043,0.009237,4.9304,7.7357,p0269
1.0661,1.0976,0.007145,3.8651,14.63,p0270
0.68255,0.56129,0.0075628,4.823,15.009,p0271
1.3025,0.52511,0.0016272,1.816,7.7638,p0272
1.0296,0.87638,0.0002446,4.1551,16.144,p0273
0.64671,1.2296,0.0097718,3.2596,19.883,p0274
1.2272,0.97256,0.006048,5.1444,16.281,p0275
0.7245,0.6957,0.00078153,5.0232,8.8629,p0276
1.3871,0.58057,0.0010701,2.2191,7.1172,p0277
0.69679,0.8521,0.006836,1.2922,17.16,p0278
0.75613,0.50648,0.0059032,2.7638,11.141,p0279
0.97684,1.3041,0.00018838,3.9382,6.6879,p0280
0.82596,1.2414,0.0073142,0.92104,8.1046,p0281
1.0046,1.4944,0.0095959,5.4736,11.097,p0282
0.61684,0.82897,0.0050136,3.5554,16.44,p0283
0.97513,0.61125,0.0085706,0.53068,16.036,p0284
0.6651,1.1563,0.00095985,2.4638,7.3134,p0285
0.65093,0.73927,0.0094181,4.7274,5.9777,p0286
0.9725,1.1581,0.0047988,3.0916,4.9904,p0287
0.87179,1.1295,0.0062037,4.0154,13.709,p0288
0.78706,0.76796,0.0053002,0.55344,5.6527,p0289
1.3142,1.4248,0.0072107,1.1076,12.8,p0290
1.2388,1.4854,0.0021846,2.0728,17.826,p0291
0.67779,1.3173,0.0074045,1.0403,18.167,p0292
0.89888,1.3075,0.0046154,0.71304,17.264,p0293
0.68016,0.9986,0.0060084,1.7558,4.8675,p0294
0.5873,0.80225,0.0042406,1.4754,14.23,p0295
1.3836,1.4058,0.006292,4.8906,14.373,p0296
1.3017,0.79752,0.0044154,3.4157,8.7793,p0297
1.2959,0.86581,0.0049631,1.1599,14.668,p0298
0.88875,1.4929,0.0087123,1.3797,15.666,p0299
1.4958,0.83543,0.0065959,1.0665,15.128,p0300
0.83997,0.82418,0.0021565,1.5824,4.2036,p0301
0.80761,1.0434,0.0035418,2.3401,8.3382,p0302
1.1153,0.73019,0.0021345,2.2869,14.853,p0303
1.1988,1.357,0.0041616,3.4853,9.6765,p0304
1.4442,1.2496,0.0039974,2.1699,11.592,p0305
1.2812,0.89616,0.0055394,1.7058,10.946,p0306
0.85113,0.84626,0.0034871,2.5457,19.412,p0307
1.3691,1.0691,0.009993,4.4081,11.049,p0308
1.0221,1.4489,0.009884,5.9239,18.186,p0309
1.1467,1.0752,0.0077045,3.4928,10.662,p0310
0.86837,0.89951,0.0030081,2.4979,18.081,p0311
1.3574,0.81907,0.0043935,5.7974,10.348,p0312
0.86052,1.2201,0.0051048,2.9249,8.209,p0313
0.92627,1.4122,0.0026964,2.1633,7.8394,p0314
0.96202,1.4454,0.0084423,1.7456,13.405,p0315
1.4903,0.60241,0.0033181,5.7589,13.507,p0316
1.0566,1.2631,0.0047874,1.844,6.8614,p0317
1.3292,1.3275,0.0081746,1.5427,15.409,p0318
0.95045,0.70137,0.0022503,1.2337,18.936,p0319
1.1018,0.65322,0.0075438,0.96794,11.124,p0320
1.4132,0.65413,0.00039481,5.3243,18.753,p0321
0.5725,0.56476,0.0062562,3.3727,13.148,p0322
0.54368,1.039,0.0094621,3.591,12.004,p0323
0.94857,0.59066,0.0087811,2.986,19.812,p0324
1.155,0.94297,0.0033784,1.7682,9.8807,p0325
1.2776,1.0633,0.0047133,2.8378,16.951,p0326
0.67575,1.197,0.00036488,1.2013,17.737,p0327
1.1487,1.4608,0.0090947,5.1205,7.2198,p0328
0.91009,1.4911,0.0059388,3.0548,11.735,p0329
1.2021,0.68046,0.0012596,2.3065,11.914,p0330
1.1638,0.89518,0.0096712,4.1724,7.9387,p0331
1.1592,0.96563,0.0074894,3.3886,10.49,p0332
0.80033,0.95693,0.0085328,1.2617,6.5118,p0333
1.4898,1.3934,0.0040909,0.81223,16.244,p0334
1.1723,1.2978,0.0089783,2.2595,17.056,p0335
0.70863,0.98972,0.0019221,4.24,11.525,p0336
1.3323,0.8076,0.0086019,3.2399,17.474,p0337
1.0884,1.4749,0.0092597,2.0447,14.058,p0338
1.1104,0.62639,0.0090122,3.2346,7.6919,p0339
0.58392,0.76311,0.0091528,3.1521,5.4486,p0340
0.84797,1.0664,0.0030828,3.0148,12.595,p0341
0.51341,0.96731,0.0049905,2.8157,15.152,p0342
0.54994,1.3153,0.00086602,2.9455,15.469,p0343
0.80394,0.64521,0.009,5.9125,8.8997,p0344
1.2334,0.57655,0.000325,2.8912,9.7991,p0345
1.3605,1.1127,0.0082373,3.6677,12.401,p0346
0.81965,1.4692,0.0064319,3.7654,19.043,p0347
0.64436,1.2065,0.0077243,0.39543,17.952,p0348
1.1577,1.4819,0.0048546,3.1128,7.5982,p0349
1.0002,0.78025,0.0076005,5.7693,8.8852,p0350
0.50216,0.50987,0.0053566,4.3696,17.282,p0351
0.73785,0.63526,0.00073394,2.5651,11.222,p0352
0.60713,1.0023,0.0014023,2.6999,6.62,p0353
1.1035,1.004,0.008043,0.60001,13.048,p0354
0.92063,1.4899,0.00081001,1.733,13.435,p0355
1.0931,1.1279,0.006706,2.4923,18.42,p0356
0.72128,1.1255,0.0058815,0.26218,16.322,p0357
0.93178,0.50175,0.0045378,5.4966,7.0508,p0358
1.0638,0.68417,0.0070638,3.1011,7.2464,p0359
1.2461,1.2879,0.0035687,1.0785,15.587,p0360
0.84265,1.0881,0.0023757,2.8838,15.042,p0361
0.94125,1.002,0.0096619,4.1409,16.787,p0362
0.87957,0.98425,0.0083676,4.4565,4.7852,p0363
0.90379,1.1444,0.0024414,3.6214,13.75,p0364
1.4621,1.1312,0.00099161,5.3807,8.5313,p0365
1.4429,1.2331,0.0084799,2.273,15.246,p0366
0.79146,0.91274,0.0021029,3.225,18.606,p0367
0.64926,0.74106,0.0037353,4.1118,7.5215,p0368
1.2446,0.73435,0.009128,3.5074,10.697,p0369
0.57561,1.0614,0.0048861,0.56289,15.36,p0370
1.3217,1.2362,0.0055846,3.9499,19.176,p0371
1.2584,0.62884,0.0094959,1.0074,14.327,p0372
1.0875,1.0217,0.0098423,5.3373,12.041,p0373
0.6995,1.383,0.0026496,2.326,13.288,p0374
0.73401,0.55363,0.0053801,4.0494,17.547,p0375
0.99731,0.86029,0.0040662,4.9881,9.1839,p0376
0.59561,0.51211,0.0020806,0.95529,9.2896,p0377
1.2241,0.51431,0.0087937,4.4915,12.262,p0378
1.0414,1.456,0.0088129,1.5971,14.301,p0379
0.66086,1.4597,0.0080715,4.1881,16.067,p0380
1.2568,1.0074,0.0035901,4.7981,18.726,p0381
0.63862,1.2514,0.0031411,5.5776,11.389,p0382
1.2183,1.3292,0.0062268,1.535,19.262,p0383
0.61951,0.59304,0.0044557,5.1663,17.713,p0384
1.3418,1.4397,0.0020719,3.5757,18.537,p0385
0.96649,0.70549,0.0075183,3.5408,9.8478,p0386
1.056,1.3875,0.0014424,3.9614,17.368,p0387
0.64137,0.66831,0.00049221,0.17374,13.76,p0388
1.079,0.7644,0.0077969,2.0144,18.319,p0389
0.79414,1.3338,0.0014686,2.4479,13.607,p0390
0.6054,1.283,0.009041,2.9101,17.088,p0391
1.381,1.1079,0.0068694,2.2078,12.971,p0392
1.3439,1.1545,0.0096367,3.7505,6.9333,p0393
1.3545,1.0795,0.005945,1.3542,5.3425,p0394
1.4023,0.87522,0.0036656,0.71843,6.2052,p0395
1.1741,0.92002,0.0086528,3.3562,11.75,p0396
0.8817,1.4507,0.0097352,5.5133,7.1611,p0397
1.4157,1.3413,0.0066435,5.6938,16.973,p0398
1.2995,0.71245,0.0063282,5.5165,18.127,p0399
1.3907,0.71825,0.0034131,0.31381,11.461,p0400
0.85709,1.2457,0.0092068,1.5648,11.193,p0401
0.50581,0.8703,0.0093425,1.5097,4.4757,p0402
0.81344,1.048,0.0066716,2.8085,10.528,p0403
1.4465,1.0811,0.0015802,3.1988,9.4835,p0404
1.1714,0.77896,0.0039654,1.916,5.1503,p0405
1.499,0.93755,0.0086623,0.73663,4.8205,p0406
0.8211,1.1234,0.0017722,2.7268,8.4385,p0407
0.89408,1.3654,0.00065767,4.5866,7.0377,p0408
0.53961,1.2269,0.0036313,3.8921,6.2973,p0409
0.85242,0.83037,0.0012699,1.9694,11.451,p0410
0.69198,1.2113,0.005053,1.614,12.862,p0411
1.0842,0.77523,0.0025411,2.9561,13.453,p0412
0.71061,1.3374,0.0092252,3.0655,4.6134,p0413
1.4524,1.0988,0.0082501,5.9728,8.2546,p0414
1.3189,1.0849,0.00071936,5.4487,7.4224,p0415
0.5479,0.6183,0.0044832,4.8455,9.3125,p0416
1.272,1.0516,0.00065264,3.2945,18.526,p0417
0.79399,0.77219,0.0017448,1.1028,8.6023,p0418
0.55641,1.3518,0.00782,4.4233,19.801,p0419
0.99343,0.65017,0.0078525,4.4734,6.2273,p0420
1.0473,0.94078,0.0083079,1.0302,5.6277,p0421
0.60348,0.88869,0.0023885,0.83344,14.943,p0422
0.58167,0.74488,0.0072443,1.2751,19.389,p0423
0.90066,0.90454,0.0061243,4.5564,19.643,p0424
0.86425,1.1085,0.0056414,3.8108,18.29,p0425
1.4072,0.91044,0.0081567,2.4098,5.8322,p0426
1.3766,1.1484,0.00033775,1.0531,14.721,p0427
0.62065,0.8859,0.0067386,0.98192,19.143,p0428
1.4104,0.97678,0.0070102,1.8677,11.329,p0429
1.4849,1.103,0.0075741,0.58203,7.9798,p0430
1.0395,1.3953,0.0060873,2.6412,18.852,p0431
0.76981,0.55783,0.0061808,1.326,10.579,p0432
1.4095,0.99246,0.0020025,0.74057,5.077,p0433
1.1347,1.0331,0.0017394,5.2193,12.642,p0434
1.4041,1.1951,0.0040577,4.7941,16.698,p0435
0.65268,1.3689,0.0057677,0.10638,6.9787,p0436
1.3945,1.3715,0.0015522,1.2823,10.107,p0437
1.3896,1.4176,0.0032266,5.8492,10.885,p0438
1.0268,0.55811,0.0025972,2.3591,16.358,p0439
0.82796,1.0348,0.0068883,3.7756,15.567,p0440
1.2379,0.75171,0.0019135,5.0581,9.455,p0441
1.0972,0.53599,0.0064537,2.6107,8.0698,p0442
0.91482,0.9338,0.0094724,0.18496,8.756,p0443
0.53286,1.4093,0.0068196,5.8696,9.3579,p0444
0.74138,1.0199,0.0031101,1.1886,13.374,p0445
0.68543,0.67997,0.0027313,0.8948,13.938,p0446
1.2353,0.52695,0.0072496,3.0389,19.774,p0447
0.73118,1.0715,0.0069384,2.3851,11.825,p0448
0.82923,0.6991,0.0051901,3.9709,18.36,p0449
1.1944,1.4717,0.0042884,1.13,16.717,p0450
0.6378,1.265,0.0039376,5.0782,19.43,p0451
1.14,0.52913,0.0069645,5.3023,14.011,p0452
0.91665,1.1417,0.0029343,4.3375,16.627,p0453
1.1426,0.64694,0.0015072,1.9481,5.9164,p0454
0.51834,0.5545,0.0076508,2.6244,14.264,p0455
1.3125,0.99574,0.0073284,1.4574,12.214,p0456
1.4007,0.95186,0.0057446,3.1443,5.0204,p0457
0.86393,0.63197,0.0032931,0.6392,12.335,p0458
1.4512,0.84433,0.0092691,4.7218,9.7718,p0459
0.56295,1.3663,0.0090703,2.7959,6.5807,p0460
1.2664,0.58265,0.00069749,5.8894,14.814,p0461
0.80451,0.71635,0.0073013,2.2524,14.164,p0462
1.2528,1.2927,0.003361,1.3685,4.7427,p0463
1.4337,0.61623,0.0019767,5.4403,15.455,p0464
0.97845,0.97004,0.0073531,4.8083,13.849,p0465
0.50684,1.302,0.0076716,4.5451,12.725,p0466
1.3398,0.73667,0.002883,0.60856,17.613,p0467
1.4274,0.74786,0.0069734,0.22884,14.127,p0468
0.99931,0.94955,0.0026806,5.3977,7.0912,p0469
1.1169,1.165,0.0027409,3.8585,8.6745,p0470
1.0956,1.1628,0.0077545,1.1661,16.186,p0471
0.84438,1.2425,0.006076,0.37638,10.834,p0472
0.73369,1.0246,0.00041487,4.6849,16.864,p0473
1.337,1.3891,0.006177,0.82482,12.776,p0474
1.0764,0.50481,0.0051827,0.20663,9.7375,p0475
0.94767,1.4211,0.0052526,1.1802,10.499,p0476
1.2844,1.2563,0.0046494,1.3121,5.4828,p0477
